id,category,item,quantity,total_target,phase,confidence,procurement_gate,evidence_or_note
A01,actuator,Dynamixel XL330-M288-T,1,15,G1,high,buy_one_only,"18 g; 288.4:1; V2 TTL; remaining 14 after G1/G2"
A02,actuator,Dynamixel XL330-M288-T,14,15,G3,high,after_G1_G2,"bulk purchase gated by supply and fit tests"
C01,compute,Radxa Zero 3W 1GB RAM 32GB eMMC target,1,1,G4,high,after_G1,"official runtime targets RK3566/Radxa Zero 3W"
S01,sensor,LSM6DSV16X breakout for protocol prototype,1,1,G1,high,buy_one,"SFLP quaternion source for ID 200"
S02,sensor,VL53L8CX breakout,1,1,G5,medium,after_G4,"8x8 ToF at I2C address 0x29"
S03,sensor,IMX219 camera module and matching CSI cable,1,1,G5,medium,after_G4,"camera path does not gate locomotion"
E01,electronics,MCU development board with SPI and 1Mbps UART,1,1,G1,medium,buy_one,"prototype `imu_to_dxl`; final MCU frozen after timing test"
E02,electronics,3.3V TTL half-duplex interface prototype,1,1,G1,high,buy_one,"Dynamixel V2 single-wire bus"
E03,electronics,USB-to-Dynamixel/TTL debug adapter,1,1,G1,high,buy_one,"bench commissioning and ID assignment"
P01,power,Current-limited adjustable bench supply >=6V,1,1,G1,high,use_existing_or_buy,"characterize one servo before battery design"
P02,power,High-current regulated servo rail,1,1,G3,low,after_G1,"voltage/current rating is deliberately TBD"
P03,power,5V UBEC/DC-DC for SBC,1,1,G4,medium,after_G1,"separate compute rail"
P04,power,NP-F550 battery and external charger,1,1,G5,medium,after_G4,"battery topology frozen after rail characterization"
P05,power,Fuse switch and emergency power disconnect,1,1,G3,high,after_G1,"bench and assembled robot power isolation"
W01,wiring,JST EHR-03 housings + SEH-001T-P0.6 terminals + 21AWG wire,TBD,TBD,G3,high,after_one_leg_route,"XL330 connector family from vendor manual"
M01,mechanical,OD22 ID16 W4 bearing,TBD,TBD,G2,medium,after_coupon,"size recovered from mesh"
M02,mechanical,OD15 ID10 W3 bearing,3,3,G2,medium,after_coupon,"quantity recovered from assembly analysis"
F01,fastener,M2x4 socket-head screws,60,60,G3,medium,after_coupon,"length/count reconstructed from mesh"
F02,fastener,M2x6 socket-head screws,80,80,G3,medium,after_coupon,"length/count reconstructed from mesh"
F03,fastener,M2x8 socket-head screws,40,40,G3,medium,after_coupon,"length/count reconstructed from mesh"
F04,fastener,M2x12 socket-head screws,15,15,G3,medium,after_coupon,"length/count reconstructed from mesh"
F05,fastener,M2 nuts,50,50,G3,medium,after_coupon,"trial quantity"
F06,fastener,M2 heat-set inserts,60,60,G3,medium,after_coupon,"preferred over directly tapping printed plastic"
F07,fastener,M2.5x6 screws,20,20,G3,low,after_coupon,"small number of 2.7/2.8mm features"
